Xkr4_1	ENSMUSG00000051951
Rp1_2	ENSMUSG00000025900
Rp1_1	ENSMUSG00000025900
Sox17_1	ENSMUSG00000025902
Sox17_2	ENSMUSG00000025902
Sox17_2	ENSMUSG00000025902
Sox17_2	ENSMUSG00000025902
Sox17_2	ENSMUSG00000025902
Sox17_2	ENSMUSG00000025902
Mrpl15_1	ENSMUSG00000033845
Mrpl15_1	ENSMUSG00000033845
Mrpl15_1	ENSMUSG00000033845
Lypla1_1	ENSMUSG00000025903
Tcea1_1	ENSMUSG00000033813
Tcea1_1	ENSMUSG00000033813
Rgs20_1	ENSMUSG00000002459
Atp6v1h_1	ENSMUSG00000033793
Atp6v1h_1	ENSMUSG00000033793
Oprk1_1	ENSMUSG00000025905
Oprk1_1	ENSMUSG00000025905
Oprk1_1	ENSMUSG00000025905
Npbwr1_1	ENSMUSG00000033774
Rb1cc1_1	ENSMUSG00000025907
Rb1cc1_1	ENSMUSG00000025907
Alkal1_1	ENSMUSG00000087247
St18_3	ENSMUSG00000033740
St18_3	ENSMUSG00000033740
St18_2	ENSMUSG00000033740
St18_1	ENSMUSG00000033740
St18_1	ENSMUSG00000033740
St18_1	ENSMUSG00000033740
Pcmtd1_1	ENSMUSG00000051285
Pcmtd1_2	ENSMUSG00000051285
AK043789_1	ENSMUSG00000097797
Sntg1_2	ENSMUSG00000025909
Sntg1_1	ENSMUSG00000025909
Sntg1_1	ENSMUSG00000025909
Sntg1_1	ENSMUSG00000025909
Sntg1_1	ENSMUSG00000025909
Rrs1_1	ENSMUSG00000061024
Adhfe1_1	ENSMUSG00000025911
Adhfe1_1	ENSMUSG00000025911
3110035E14Rik_1	ENSMUSG00000067879
3110035E14Rik_2	ENSMUSG00000067879
2610203C22Rik_1	ENSMUSG00000079671
Mybl1_1	ENSMUSG00000025912
Mybl1_1	ENSMUSG00000025912
Vcpip1_2	ENSMUSG00000045210
Vcpip1_1	ENSMUSG00000045210
Sgk3_1	ENSMUSG00000025915
Sgk3_2	ENSMUSG00000025915
Mcmdc2_1	ENSMUSG00000046101
Snord87_1	ENSMUSG00000093178
Snhg6_1	ENSMUSG00000098234
Tcf24_1	ENSMUSG00000099032
Ppp1r42_1	ENSMUSG00000025916
Ppp1r42_1	ENSMUSG00000025916
Cops5_1	ENSMUSG00000025917
Cops5_2	ENSMUSG00000025917
Cops5_2	ENSMUSG00000025917
Cops5_2	ENSMUSG00000025917
Cspp1_1	ENSMUSG00000056763
Cspp1_1	ENSMUSG00000056763
Cspp1_1	ENSMUSG00000056763
Cspp1_2	ENSMUSG00000056763
Cspp1_2	ENSMUSG00000056763
Arfgef1_1	ENSMUSG00000067851
Cpa6_1	ENSMUSG00000042501
Prex2_1	ENSMUSG00000048960
Prex2_1	ENSMUSG00000048960
A830018L16Rik_1	ENSMUSG00000057715
A830018L16Rik_1	ENSMUSG00000057715
A830018L16Rik_1	ENSMUSG00000057715
A830018L16Rik_1	ENSMUSG00000057715
Sulf1_2	ENSMUSG00000016918
Sulf1_2	ENSMUSG00000016918
Sulf1_1	ENSMUSG00000016918
Sulf1_1	ENSMUSG00000016918
Sulf1_3	ENSMUSG00000016918
Slco5a1_1	ENSMUSG00000025938
Prdm14_1	ENSMUSG00000042414
Ncoa2_2	ENSMUSG00000005886
Ncoa2_1	ENSMUSG00000005886
Tram1_1	ENSMUSG00000025935
Lactb2_1	ENSMUSG00000025937
Xkr9_1	ENSMUSG00000067813
Eya1_1	ENSMUSG00000025932
Eya1_1	ENSMUSG00000025932
Eya1_1	ENSMUSG00000025932
Eya1_1	ENSMUSG00000025932
Msc_1	ENSMUSG00000025930
