Gene	Refseq	Promoter	Cluster
Fos	NM_010234	CpG	1
Ier2	NM_010499	CpG	1
Pmaip1	NM_021451	CpG	1
Egr1	NM_007913	CpG	1
Nr4a1	NM_010444	CpG	1
Btg2	NM_007570	CpG	1
Plk3	NM_013807	CpG	1
Ppp1r15a	NM_008654	CpG	1
Zfp36	NM_011756	CpG	1
Jun	NM_010591	CpG	1
Atf3	NM_007498	CpG	1
Fosb	NM_008036	CpG	1
Egr3	NM_018781	CpG	1
Nfkbid	NM_172142	CpG	1
Gdf15	NM_011819	LCG	1
Fabp4	NM_024406	LCG	1
Cdc42ep4	NM_001163346	CpG	2
Plk2	NM_152804	CpG	2
Osgin2	NM_145950	CpG	2
Gm10941	NR_026944	CpG	2
Id3	NM_008321	CpG	2
Maff	NM_010755	CpG	2
Phlda1	NM_009344	CpG	2
Rabgef1	NM_001199059	CpG	2
Slc16a10	NM_001114332	CpG	2
Fam133b	NM_001042501	CpG	2
Frmd6	NM_028127	CpG	2
Zswim4	NM_172503	CpG	2
Sh2b2	NM_018825	CpG	2
Extl2	NM_001163515	CpG	2
Dhx40	NM_026191	CpG	2
Klhl25	NM_001122780	CpG	2
Ier3	NM_133662	CpG	2
Rab20	NM_011227	CpG	2
Med21	NM_025315	CpG	2
Areg	NM_009704	CpG	2
Txnrd1	NM_015762	CpG	2
2310016C08Rik	NM_001190461	CpG	2
Dpep3	NM_027960	CpG	2
Irs2	NM_001081212	CpG	2
Bcl2l11	NM_009754	CpG	2
Dusp4	NM_176933	CpG	2
Orai2	NM_178751	CpG	2
Sgms1	NM_144792	CpG	2
Fosl2	NM_008037	CpG	2
Trib1	NM_144549	CpG	2
Kctd12	NM_177715	CpG	2
Egr2	NM_010118	CpG	2
Fam20c	NM_030565	CpG	2
Snx18	NM_130796	CpG	2
Gm13363	NR_002688	CpG	2
Dusp8	NM_008748	CpG	2
Dusp5	NM_001085390	CpG	2
Ifrd1	NM_013562	CpG	2
Rnf19a	NM_013923	CpG	2
Fam108c	NM_133722	CpG	2
Mdm2	NM_010786	CpG	2
Sema6d	NM_172537	CpG	2
Ets2	NM_011809	CpG	2
Errfi1	NM_133753	CpG	2
Dusp1	NM_013642	CpG	2
Odc1	NM_013614	CpG	2
Adamts1	NM_009621	CpG	2
Gem	NM_010276	CpG	2
Rcan1	NM_019466	CpG	2
Osm	NM_001013365	LCG	2
Plaur	NM_011113	LCG	2
Agpat4	NM_026644	LCG	2
Gm889	NM_001033437	LCG	2
Nlrp3	NM_145827	LCG	2
Plek	NM_019549	LCG	2
Samsn1	NM_023380	LCG	2
Tcfec	NM_031198	LCG	2
Kdm6b	NM_001017426	LCG	2
Foxp4	NM_001110824	CpG	3
Slc25a37	NM_026331	CpG	3
Ppfibp1	NM_001170433	CpG	3
Ezr	NM_009510	CpG	3
Jdp2	NM_001205052	CpG	3
Nfkb1	NM_008689	CpG	3
Adora2b	NM_007413	CpG	3
Itgav	NM_008402	CpG	3
Oaf	NM_178644	CpG	3
D8Ertd82e	NM_172911	CpG	3
Ttc39c	NM_028341	CpG	3
Sh3bgrl2	NM_172507	CpG	3
St3gal1	NM_009177	CpG	3
Swap70	NM_009302	CpG	3
Lif	NM_001039537	CpG	3
Denr	NM_026603	CpG	3
Stk40	NM_001145827	CpG	3
P2ry2	NM_008773	CpG	3
Fam129a	NM_022018	CpG	3
Prdm1	NM_007548	CpG	3
Ptch1	NM_008957	CpG	3
Phldb1	NM_153537	CpG	3
Pvr	NM_027514	CpG	3
Jag1	NM_013822	CpG	3
Dyrk2	NM_001014390	CpG	3
Cdk5r1	NM_009871	CpG	3
Bcor	NM_001168321	CpG	3
Ell2	NM_138953	CpG	3
Ccrn4l	NM_009834	CpG	3
Slc4a7	NM_001033270	CpG	3
Sertad2	NM_021372	CpG	3
Stim2	NM_001081103	CpG	3
Fchsd2	NM_001146010	CpG	3
Slc44a1	NM_001159633	CpG	3
Myo10	NM_019472	CpG	3
Clcf1	NM_019952	CpG	3
Hivep1	NM_007772	CpG	3
Ankrd33b	NM_001164441	CpG	3
40797	NM_001009818	CpG	3
Col18a1	NM_009929	CpG	3
Cav1	NM_007616	LCG	3
Rhof	NM_175092	LCG	3
Zhx2	NM_199449	LCG	3
Hivep3	NM_010657	LCG	3
Klf7	NM_033563	LCG	3
Plscr1	NM_011636	LCG	3
Cd44	NM_001039150	LCG	3
Akna	NM_001045514	LCG	3
Lcat	NM_008490	LCG	3
Slc7a11	NM_011990	LCG	3
Atp2b4	NM_213616	LCG	3
Aebp2	NM_178803	LCG	3
Csf2	NM_009969	LCG	3
Ifnb1	NM_010510	LCG	3
Nupr1	NM_019738	LCG	3
Rep15	NM_025620	LCG	3
Ehd1	NM_010119	CpG	4
6330409N04Rik	NM_025697	CpG	4
Irf1	NM_001159393	CpG	4
Zc3h12c	NM_001162921	CpG	4
H2-Q7	NM_001198561	CpG	4
Sod2	NM_013671	CpG	4
Rasgef1b	NM_145839	CpG	4
Mxd1	NM_010751	CpG	4
Relb	NM_009046	CpG	4
Dusp16	NM_001048054	CpG	4
Icosl	NM_015790	CpG	4
Gch1	NM_008102	CpG	4
Zc3h12a	NM_153159	CpG	4
Sqstm1	NM_011018	CpG	4
Tnfaip3	NM_009397	CpG	4
Vasp	NM_009499	CpG	4
Cd83	NM_009856	CpG	4
Itga5	NM_010577	CpG	4
Nfkbie	NM_008690	CpG	4
Nfkbia	NM_010907	CpG	4
Ggct	NM_026637	CpG	4
Nfkbib	NM_010908	CpG	4
Optn	NM_181848	CpG	4
Tnfsf9	NM_009404	CpG	4
Tnfaip2	NM_009396	CpG	4
Bcl3	NM_033601	CpG	4
Fabp3	NM_010174	CpG	4
Mrpl52	NM_026851	CpG	4
Trim13	NM_023233	CpG	4
Slc2a6	NM_172659	CpG	4
Ralgds	NM_001145836	CpG	4
Sdc4	NM_011521	CpG	4
Irak2	NM_001113553	CpG	4
Tlr2	NM_011905	CpG	4
Junb	NM_008416	CpG	4
Ctsc	NM_009982	CpG	4
Cflar	NM_207653	CpG	4
Cebpb	NM_009883	CpG	4
Pik3r5	NM_177320	CpG	4
Lrrc63	NM_027581	CpG	4
Pim1	NM_008842	CpG	4
Socs3	NM_007707	CpG	4
Skil	NM_001039090	CpG	4
Cdkn1a	NM_007669	CpG	4
Ankrd57	NM_172939	CpG	4
Gadd45b	NM_008655	CpG	4
Clic4	NM_013885	CpG	4
Marcksl1	NM_010807	CpG	4
Mapkapk2	NM_008551	CpG	4
Rnf19b	NM_029219	CpG	4
Nfkb2	NM_001177369	CpG	4
Dusp2	NM_010090	CpG	4
Rel	NM_009044	CpG	4
H2-Q8	NM_023124	CpG	4
Tgm2	NM_009373	CpG	4
Icam1	NM_010493	CpG	4
Nfkbiz	NM_001159395	CpG	4
Cdc42ep2	NM_026772	LCG	4
Cxcl16	NM_023158	LCG	4
Cxcl2	NM_009140	LCG	4
3110003A17Rik	NM_028440	LCG	4
Icam4	NM_023892	LCG	4
Csrnp1	NM_153287	LCG	4
Cxcl1	NM_008176	LCG	4
Birc3	NM_007464	LCG	4
Cd14	NM_009841	LCG	4
Tnf	NM_013693	LCG	4
