#Name	TATA-box	Inr	CCAAT-box	GC-box
Lama4_1	0	1	0	1
Sntb2_1	0	0	0	1
Bpifa6_1	1	1	1	0
Gm10471_1	0	1	1	1
Gps2_2	0	1	0	1
Neu3_1	0	1	1	0
Ptprd_1	0	1	0	1
Kirrel3_1	0	1	0	0
Dtd1_1	0	0	0	1
Fam241a_1	0	1	0	1
Arhgef37_1	0	1	0	0
Scrn2_1	0	0	0	1
Tfr2_1	0	0	0	1
Gal_1	1	0	0	1
4933427D14Rik_1	0	1	0	1
Cgn_1	0	1	1	1
Irx2_1	0	1	0	1
Tmx4_1	1	0	1	1
P2ry10b_1	0	1	0	0
Kifc5b_1	0	0	0	1
Scgb2b3_1	0	0	0	1
Rexo4_1	0	0	0	0
Tmem120a_1	0	1	1	0
E2f2_1	1	0	0	0
Pafah1b1_2	0	0	0	0
Tsc1_1	0	0	0	0
Xkr5_1	0	1	0	0
B4galnt1_1	0	0	0	1
Lrrc15_1	1	1	0	1
Timm13_1	0	0	0	1
C2_1	0	1	0	1
Spef1_1	0	0	0	0
Ikzf5_1	0	0	0	1
Mrgpra2a_1	1	0	0	0
Akt1s1_4	0	0	0	0
Mga_2	0	1	0	1
Slc9a2_1	0	0	0	1
Ugt3a1_1	1	0	0	0
Serpine3_1	1	1	0	0
Ulk2_1	0	0	0	0
Grap_1	0	0	0	0
P4htm_1	0	0	0	0
Arid4a_1	0	0	0	0
Sept9_2	0	1	0	1
Alg14_1	0	0	0	1
Krt88_1	0	0	0	0
4930442L01Rik_1	0	0	0	0
Hmbs_2	0	1	0	1
Nars2_1	0	1	0	1
Hs3st1_1	0	1	0	1
Serac1_1	0	0	0	0
Zfand4_1	0	0	0	1
Fryl_2	0	0	0	0
Ctu1_1	0	0	0	0
Fggy_1	0	0	1	0
Cstf2_2	0	1	0	1
Cd59b_1	0	0	0	1
Washc3_1	0	0	0	0
Lpgat1_2	0	0	0	0
Myo18b_1	0	0	0	0
2210417A02Rik_1	0	1	0	1
Btk_1	0	1	0	0
Six1_1	0	0	1	0
KY468184_1	0	1	1	1
Amelx_1	1	0	0	0
Hvcn1_1	0	0	0	0
Lrrc8c_2	1	1	0	0
Dut_2	0	0	0	1
Rasgrp3_2	0	1	1	0
Cldn10_2	0	1	0	0
Tmod1_3	1	1	0	0
Dcc_1	0	1	0	0
Esm1_1	1	1	0	0
Masp2_1	0	1	0	0
Arl13a_1	0	1	0	0
Slc25a27_1	0	1	0	0
Mpv17l_1	0	0	0	1
Smim10l1_1	0	0	0	1
P2rx7_2	1	0	0	0
AK041109_1	0	0	0	1
Itpkc_1	0	0	0	1
Prkcq_1	0	1	1	0
Eef1akmt1_1	0	0	1	1
Usp33_1	0	0	0	1
Slc4a10_1	0	1	0	0
Isoc2b_1	0	0	1	0
Diexf_1	0	1	0	1
Btnl6_1	0	1	0	1
Rnu7_1	0	0	0	0
Ankrd6_1	0	0	0	1
Tbx10_1	0	1	0	0
Rnf168_1	0	0	0	1
Dennd1c_1	0	1	0	1
Ppara_1	0	0	1	1
Dclre1b_2	0	0	0	1
Klhl30_2	0	0	0	1
Psmb7_1	0	0	0	1
9530053A07Rik_1	0	0	0	1
